pc_index,pc_name,pc_coefficient,gene_name,gene_loading,risk_weighted_loading,rank_within_pc
4,EXPR_PC04,-0.17136602080637148,EXPR_DDX3Y,0.15653013228120705,-0.026823945905325407,10
5,EXPR_PC05,0.02869806072172597,EXPR_XAGE1D,0.4599088573644044,0.013198492315103286,1
5,EXPR_PC05,0.02869806072172597,EXPR_MAGEC1,0.41551162291130284,0.011924377784891473,2
5,EXPR_PC05,0.02869806072172597,EXPR_MAGEA12,0.3839344243225731,0.011018173422370107,3
5,EXPR_PC05,0.02869806072172597,EXPR_CCL21,-0.21154174160619868,-0.006070837745794355,4
5,EXPR_PC05,0.02869806072172597,EXPR_DFNB18,0.16821184221157154,0.004827353661901068,5
5,EXPR_PC05,0.02869806072172597,EXPR_KRT14,-0.16642148944377888,-0.004775974009457644,6
5,EXPR_PC05,0.02869806072172597,EXPR_CA9,0.16277122551864587,0.004671218513683851,7
5,EXPR_PC05,0.02869806072172597,EXPR_CXCL14,-0.1592463318789539,-0.004570060901974345,8
5,EXPR_PC05,0.02869806072172597,EXPR_PGC,0.14266713481527207,0.004094270097923344,9
5,EXPR_PC05,0.02869806072172597,EXPR_DKFZp547D155,0.1384613506666445,0.0039735722490435565,10
6,EXPR_PC06,-0.03460368088950458,EXPR_DLK1,0.5409671594040433,-0.01871945495571927,1
6,EXPR_PC06,-0.03460368088950458,EXPR_KRT14,-0.29225995680540745,0.010113270282074711,2
6,EXPR_PC06,-0.03460368088950458,EXPR_HOMG2,0.22895998941401963,-0.00792285841014708,3
6,EXPR_PC06,-0.03460368088950458,EXPR_BEX1,0.21619962104583887,-0.007481302695102027,4
6,EXPR_PC06,-0.03460368088950458,EXPR_KLK6,-0.21490617916018717,0.007436544844841816,5
6,EXPR_PC06,-0.03460368088950458,EXPR_KIF1A,0.18130785356762386,-0.00627391910761508,6
6,EXPR_PC06,-0.03460368088950458,EXPR_CHGA,0.18030211388842765,-0.006239116812698262,7
6,EXPR_PC06,-0.03460368088950458,EXPR_PCSK2,0.17776551113479205,-0.006151341020468017,8
6,EXPR_PC06,-0.03460368088950458,EXPR_CXCL5,-0.17159192899335338,0.005937712354100529,9
6,EXPR_PC06,-0.03460368088950458,EXPR_CELA3A,0.16696953589340172,-0.005777760538323954,10
7,EXPR_PC07,0.00021829578046445407,EXPR_DDX3Y,0.37622830186537415,8.212905078851807e-05,1
7,EXPR_PC07,0.00021829578046445407,EXPR_DKFZp547D155,0.3667164713570282,8.005265832405308e-05,2
7,EXPR_PC07,0.00021829578046445407,EXPR_CST1,0.35144092172806857,7.671807029577584e-05,3
7,EXPR_PC07,0.00021829578046445407,EXPR_FGFR2,-0.23135155691843265,-5.0503068679175825e-05,4
7,EXPR_PC07,0.00021829578046445407,EXPR_PGC,0.21935569953407225,4.7884423629116586e-05,5
7,EXPR_PC07,0.00021829578046445407,EXPR_CTNND2,-0.18970185366101253,-4.141111420048438e-05,6
7,EXPR_PC07,0.00021829578046445407,EXPR_HEPACAM,0.1789102087003245,3.90553436412957e-05,7
7,EXPR_PC07,0.00021829578046445407,EXPR_HOMG2,-0.17702961740198597,-3.864481849609023e-05,8
7,EXPR_PC07,0.00021829578046445407,EXPR_CHGA,0.16637256072357295,3.631842799102213e-05,9
7,EXPR_PC07,0.00021829578046445407,EXPR_CA9,-0.16253338197144668,-3.548035146898418e-05,10
8,EXPR_PC08,0.15243885839851457,EXPR_PAEP,0.6183710666182006,0.0942637794619503,1
8,EXPR_PC08,0.15243885839851457,EXPR_FDCSP,-0.22558824634214317,-0.03438841474051919,2
8,EXPR_PC08,0.15243885839851457,EXPR_SFRP1,-0.21434528173742004,-0.03267455005116028,3
8,EXPR_PC08,0.15243885839851457,EXPR_DNER,0.2089140165216423,0.031846614182007564,4
8,EXPR_PC08,0.15243885839851457,EXPR_HEPACAM,-0.2056990892336112,-0.03135653433638587,5
8,EXPR_PC08,0.15243885839851457,EXPR_CA9,0.18009744686303775,0.02745384920028861,6
8,EXPR_PC08,0.15243885839851457,EXPR_CXCL14,-0.17827771083111088,-0.027176450716995038,7
8,EXPR_PC08,0.15243885839851457,EXPR_PLA2G2A,-0.16370402844036838,-0.024954855210687715,8
8,EXPR_PC08,0.15243885839851457,EXPR_ABCC2,0.16353209029706609,0.024928645156407556,9
8,EXPR_PC08,0.15243885839851457,EXPR_CCL21,-0.16058556404183152,-0.02447948005781835,10
9,EXPR_PC09,0.03414759249258616,EXPR_KRT14,0.4493252241070163,0.015343374649446342,1
9,EXPR_PC09,0.03414759249258616,EXPR_PAEP,-0.3075806486996325,-0.01050313865040035,2
9,EXPR_PC09,0.03414759249258616,EXPR_FDCSP,-0.30367132596096386,-0.010369644690598293,3
9,EXPR_PC09,0.03414759249258616,EXPR_CST1,-0.2659921258313177,-0.009082990719124537,4
9,EXPR_PC09,0.03414759249258616,EXPR_AP1M2,0.24912683048379064,0.008507081486330073,5
9,EXPR_PC09,0.03414759249258616,EXPR_PRSS3,0.24198271380026978,0.008263127101101718,6
9,EXPR_PC09,0.03414759249258616,EXPR_PCSK2,0.2202998605885134,0.007522709865550097,7
9,EXPR_PC09,0.03414759249258616,EXPR_PLA2G2A,-0.22001839467431858,-0.007513098482211619,8
9,EXPR_PC09,0.03414759249258616,EXPR_CXCL5,-0.20798965858577442,-0.007102346104059148,9
9,EXPR_PC09,0.03414759249258616,EXPR_DNER,-0.1514013795222856,-0.005169992610742387,10
10,EXPR_PC10,0.07279584440652634,EXPR_GSTM1,0.6784464886028012,0.04938808502248366,1
10,EXPR_PC10,0.07279584440652634,EXPR_DDX3Y,-0.45019617682180485,-0.032772410840333124,2
10,EXPR_PC10,0.07279584440652634,EXPR_DLK1,0.2294497765211307,0.01670299023074447,3
10,EXPR_PC10,0.07279584440652634,EXPR_CST1,0.17486045377432682,0.012729114385810487,4
10,EXPR_PC10,0.07279584440652634,EXPR_FDCSP,-0.16170634517226196,-0.011771549942708024,5
10,EXPR_PC10,0.07279584440652634,EXPR_KRT23,-0.13672521810655103,-0.009953027703732867,6
10,EXPR_PC10,0.07279584440652634,EXPR_ABCB5,-0.12489456407000045,-0.009091805253260688,7
10,EXPR_PC10,0.07279584440652634,EXPR_CTNND2,-0.11650859961892061,-0.008481341889881219,8
10,EXPR_PC10,0.07279584440652634,EXPR_GSTT1,0.11456801615787374,0.008340075478192972,9
10,EXPR_PC10,0.07279584440652634,EXPR_KLK6,0.10579527529564949,0.00770145639936772,10
11,EXPR_PC11,-0.06685325261493431,EXPR_DDX3Y,0.40790581563043987,-0.02726983053544262,1
11,EXPR_PC11,-0.06685325261493431,EXPR_CELA3A,0.3395478200871469,-0.0226998761911363,2
11,EXPR_PC11,-0.06685325261493431,EXPR_PGC,-0.31102832332865615,0.020793255069890118,3
11,EXPR_PC11,-0.06685325261493431,EXPR_KRT14,-0.2740340489546967,0.018320067499861613,4
11,EXPR_PC11,-0.06685325261493431,EXPR_GSTT1,0.25140874198821944,-0.016807492137741277,5
11,EXPR_PC11,-0.06685325261493431,EXPR_KRT23,-0.24691798625576009,0.01650727051032721,6
11,EXPR_PC11,-0.06685325261493431,EXPR_CACNG4,-0.21500502581651312,0.014373785304391826,7
11,EXPR_PC11,-0.06685325261493431,EXPR_GSTM1,0.1971184553198553,-0.01317800988856393,8
11,EXPR_PC11,-0.06685325261493431,EXPR_FDCSP,-0.18535017434801637,0.012391262027910056,9
11,EXPR_PC11,-0.06685325261493431,EXPR_HEPACAM,-0.1673089610372744,0.011185148236967108,10
12,EXPR_PC12,0.04674198702172983,EXPR_DLK1,0.40546246216931575,0.01895212114451678,1
12,EXPR_PC12,0.04674198702172983,EXPR_PAEP,0.27943939643242427,0.013061552641404392,2
12,EXPR_PC12,0.04674198702172983,EXPR_ABCB5,-0.26775423088744554,-0.012515364785154233,3
12,EXPR_PC12,0.04674198702172983,EXPR_KLK6,0.25823324383629953,0.012070334931975507,4
12,EXPR_PC12,0.04674198702172983,EXPR_GSTT1,-0.23605152534449694,-0.011033517334112007,5
12,EXPR_PC12,0.04674198702172983,EXPR_ESRP1,-0.230569935810178,-0.01077729694724042,6
12,EXPR_PC12,0.04674198702172983,EXPR_CA9,-0.2215723365907395,-0.010356731281298699,7
12,EXPR_PC12,0.04674198702172983,EXPR_DDX3Y,0.2197746159820713,0.010272702247939634,8
12,EXPR_PC12,0.04674198702172983,EXPR_CELA3A,0.1898982813453352,0.008876223002092459,9
